OrderID,UserID,Date,TotalPrice,Status
1,18023,2023-10-09,19326.010000000002,Shipped
2,6216,2023-10-10,10734.03,Shipped
3,15135,2023-07-24,20472.33,Shipped
4,17362,2023-04-16,3965.52,Pending
5,25402,2023-03-03,25497.550000000003,Pending
6,28964,2023-07-30,1577.99,Delivered
7,22678,2023-08-07,24246.48,Pending
8,18048,2023-05-19,9120.37,Shipped
9,6395,2023-03-24,12007.89,Shipped
10,5306,2023-04-04,9719.57,Pending
11,25958,2023-01-29,28552.85,Pending
12,16833,2023-09-21,6897.86,Pending
13,27031,2023-08-28,15378.62,Pending
14,4989,2023-08-26,30040.11,Delivered
15,19485,2023-04-27,4246.01,Pending
16,11988,2023-11-10,5567.969999999999,Shipped
17,19072,2023-05-09,33456.12,Delivered
18,5459,2022-11-21,8804.33,Pending
19,9826,2023-06-19,1968.6200000000001,Delivered
20,6590,2023-07-03,27858.67,Shipped
21,12940,2023-02-05,17390.96,Shipped
22,157,2023-01-10,33958.03999999999,Delivered
23,17852,2023-04-27,484.45,Shipped
24,10989,2023-06-15,21864.640000000003,Shipped
25,6069,2023-01-17,13655.32,Delivered
26,2662,2023-10-11,24897.35,Delivered
27,11287,2023-01-25,26436.059999999998,Shipped
28,26999,2023-04-07,21192.550000000003,Pending
29,5823,2023-08-08,30992.95,Shipped
30,13066,2023-09-06,14309.31,Delivered
31,19479,2023-02-19,25828.5,Shipped
32,11536,2023-01-18,5485.8,Shipped
33,5939,2023-08-30,9581.13,Shipped
34,10547,2023-06-06,17010.89,Shipped
35,6782,2023-04-27,20188.58,Delivered
36,21145,2023-02-17,8213.44,Delivered
37,1494,2023-08-23,12722.660000000002,Shipped
38,20898,2023-03-16,13650.99,Shipped
39,14255,2023-04-16,9773.66,Delivered
40,16922,2023-08-25,887.54,Delivered
41,9331,2023-01-22,39291.399999999994,Pending
42,547,2022-12-09,21319.739999999998,Shipped
43,26049,2023-04-08,10421.1,Pending
44,7773,2023-03-19,10019.489999999998,Shipped
45,9373,2023-07-23,6493.23,Shipped
46,2991,2023-10-06,14558.89,Shipped
47,4346,2023-08-04,1313.79,Shipped
48,3935,2022-12-18,30876.600000000006,Delivered
49,17077,2023-10-10,19461.62,Shipped
50,27214,2023-01-08,26796.430000000004,Delivered
51,22835,2023-03-23,20321.200000000004,Shipped
52,19216,2023-03-15,13563.63,Shipped
53,27002,2023-05-10,14770.48,Delivered
54,18160,2023-03-19,14193.039999999999,Shipped
55,9696,2023-08-20,9008.05,Delivered
56,18937,2022-12-04,13761.470000000001,Delivered
57,11585,2022-12-11,25049.93,Delivered
58,25270,2023-02-19,14453.46,Delivered
59,29809,2023-08-09,5185.8099999999995,Shipped
60,2320,2022-11-30,16845.04,Pending
61,758,2023-07-07,17695.030000000002,Pending
62,15618,2023-03-01,18224.130000000005,Pending
63,23545,2023-06-20,7012.31,Shipped
64,14195,2023-03-26,20638.68,Shipped
65,12100,2023-01-22,5483.610000000001,Delivered
