OrderID,ProductID,Quantity,PricePerUnit
1,7344,10,850.82
1,1724,5,604.72
1,6918,6,983.96
1,5316,3,630.15
2,3743,10,454.88
2,7128,2,7.8
2,3528,7,43.39
2,5534,6,977.65
3,4117,5,720.47
3,2464,2,786.23
3,6332,10,940.86
3,7349,1,910.17
3,2156,10,119.53
3,3661,4,80.9
3,370,5,199.85
3,8993,4,453.06
3,7904,6,108.06
4,4848,8,495.69
5,421,3,762.55
5,8543,10,807.38
5,7206,4,801.38
5,5503,8,662.4
5,7622,1,867.62
5,4117,8,720.47
6,7898,3,489.53
6,53,5,21.88
7,7759,2,528.83
7,4076,2,43.56
7,9376,4,336.29
7,1574,7,828.58
7,950,6,376.75
7,8068,4,616.47
7,2173,8,184.6
7,9964,10,628.48
7,1749,6,427.01
7,2363,2,453.22
8,7739,3,918.93
8,7975,6,911.87
8,7302,1,892.36
9,8051,9,760.13
9,3110,10,153.84
9,1724,6,604.72
10,837,1,149.67
10,9611,5,509.81
10,6714,5,206.78
10,8696,5,621.9
10,3243,3,959.15
11,2962,7,727.89
11,8501,2,615.32
11,2420,2,467.76
11,8497,3,348.24
11,482,9,772.72
11,7636,3,607.21
11,5021,2,858.7
11,54,5,653.56
11,2395,7,926.49
12,1901,4,86.15
12,5536,10,294.77
12,2429,4,701.48
12,7406,1,799.64
13,5002,7,839.51
13,680,3,93.98
13,6970,5,71.27
13,9769,8,762.77
13,1868,10,276.16
14,4543,10,718.25
14,1601,9,269.72
14,1575,9,256.87
14,3918,7,711.92
14,7972,9,802.9
14,900,8,403.82
14,1099,1,123.19
14,2052,3,851.67
15,4964,2,343.48
15,8224,3,528.95
15,1515,5,394.44
16,2660,7,174.83
16,8293,8,543.02
17,5412,8,784.61
17,189,6,442.14
17,8812,4,975.72
17,7839,10,599.43
17,1448,9,333.09
17,5762,7,858.03
17,967,9,264.49
17,7565,2,384.19
17,5408,3,825.47
18,4181,10,52.8
18,2381,5,497.19
18,4837,5,152.73
18,5513,2,587.06
18,9286,1,33.39
18,852,4,162.83
18,5699,4,599.46
18,4452,2,57.75
18,1236,8,81.82
19,8782,2,573.32
19,5463,2,410.99
20,490,10,603.02
20,9148,9,736.58
20,6884,1,534.89
20,7967,10,432.65
20,2250,10,185.61
20,3773,6,149.58
20,2911,2,30.28
20,5912,3,838.55
20,7857,5,831.27
20,7794,1,851.72
21,4907,6,888.1
21,7648,2,803.38
21,3015,8,931.0
21,604,5,601.52
22,7132,10,673.25
22,8282,7,250.4
22,4638,7,363.0
22,171,4,391.08
22,1346,8,855.38
22,1782,10,401.63
22,4406,9,878.91
22,201,5,458.51
22,1718,2,152.67
23,4651,1,268.34
23,1787,1,216.11
24,17,10,624.06
24,8632,1,120.93
24,875,5,339.57
24,123,9,127.29
24,8951,9,147.2
24,1200,10,167.22
24,8196,3,203.85
24,2576,9,314.06
24,7635,8,488.82
24,2799,4,578.5
25,1723,4,784.51
25,417,5,37.47
